"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 9, 28
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\global.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 194, 2, 198
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\package-lock.json", "JSON", 2471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2472
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 7, 42
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\public\sw_OLD.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 9, 46
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\App.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\cards\index.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 7, 39
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\emblems\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\frames\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\gameIcons\details\index.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 9, 70
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\gameIcons\resources\index.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 5, 34
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\gameIcons\utility\index.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 6, 41
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs\labels\index.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 3, 30
